Date,Color,Rig Number,Region
10-11-2020,Orange,253,West Texas
10-11-2020,Orange,253,West Texas
10-11-2020,Orange,295,West Texas
10-11-2020,Orange,560,West Texas
10-11-2020,Orange,565,West Texas
10-11-2020,Orange,597,West Texas
10-11-2020,Orange,597,West Texas
10-11-2020,Orange,803,West Texas
10-11-2020,Orange,807,West Texas
10-11-2020,Orange,807,West Texas
10-11-2020,Orange,815,West Texas
10-11-2020,Red,560,West Texas
10-11-2020,Red,807,West Texas
10-11-2020,Red,807,West Texas
10-11-2020,Red,807,West Texas
10-11-2020,Red,815,West Texas
10-11-2020,Red,815,West Texas
10-18-2020,Orange,565,West Texas
10-18-2020,Orange,565,West Texas
10-18-2020,Orange,595,West Texas
10-18-2020,Orange,807,West Texas
10-18-2020,Red,566,West Texas
10-18-2020,Red,566,West Texas
10-18-2020,Red,566,West Texas
10-25-2020,Orange,565,West Texas
10-25-2020,Orange,565,West Texas
10-25-2020,Orange,566,West Texas
10-25-2020,Orange,575,West Texas
10-25-2020,Orange,595,West Texas
10-25-2020,Orange,803,West Texas
10-25-2020,Orange,807,West Texas
11-01-2020,Orange,253,West Texas
11-01-2020,Orange,253,West Texas
11-01-2020,Orange,565,West Texas
11-01-2020,Orange,802,West Texas
11-01-2020,Orange,803,West Texas
11-01-2020,Orange,804,West Texas
11-01-2020,Orange,807,West Texas
11-01-2020,Orange,807,West Texas
11-01-2020,Red,257,West Texas
11-01-2020,Red,562,West Texas
11-01-2020,Red,802,West Texas
11-01-2020,Red,807,West Texas
11-08-2020,Orange,256,West Texas
11-08-2020,Orange,256,West Texas
11-08-2020,Orange,256,West Texas
11-08-2020,Orange,295,West Texas
11-08-2020,Orange,295,West Texas
11-08-2020,Orange,295,West Texas
11-08-2020,Orange,565,West Texas
11-08-2020,Orange,595,West Texas
11-08-2020,Orange,802,West Texas
11-08-2020,Orange,802,West Texas
11-08-2020,Orange,815,West Texas
11-08-2020,Red,257,West Texas
11-08-2020,Red,257,West Texas
11-15-2020,Orange,295,West Texas
11-15-2020,Orange,595,West Texas
11-15-2020,Orange,802,West Texas
11-22-2020,Orange,253,West Texas
11-22-2020,Orange,253,West Texas
11-22-2020,Orange,253,West Texas
11-22-2020,Orange,257,West Texas
11-22-2020,Orange,565,West Texas
11-22-2020,Orange,595,West Texas
11-22-2020,Orange,803,West Texas
11-22-2020,Orange,803,West Texas
11-22-2020,Orange,803,West Texas
11-22-2020,Orange,803,West Texas
11-22-2020,Orange,803,West Texas
11-22-2020,Orange,803,West Texas
11-22-2020,Orange,803,West Texas
11-22-2020,Orange,803,West Texas
11-22-2020,Orange,810,West Texas
11-22-2020,Orange,815,West Texas
11-29-2020,Orange,257,West Texas
11-29-2020,Orange,257,West Texas
11-29-2020,Orange,261,West Texas
11-29-2020,Orange,295,West Texas
11-29-2020,Orange,295,West Texas
11-29-2020,Orange,562,West Texas
11-29-2020,Orange,562,West Texas
11-29-2020,Orange,565,West Texas
11-29-2020,Orange,566,West Texas
11-29-2020,Orange,594,West Texas
11-29-2020,Orange,803,West Texas
11-29-2020,Orange,803,West Texas
11-29-2020,Orange,803,West Texas
11-29-2020,Orange,803,West Texas
11-29-2020,Orange,803,West Texas
11-29-2020,Orange,803,West Texas
11-29-2020,Orange,803,West Texas
11-29-2020,Orange,807,West Texas
11-29-2020,Orange,810,West Texas
11-29-2020,Red,257,West Texas
11-29-2020,Red,295,West Texas
11-29-2020,Red,807,West Texas
11-29-2020,Red,807,West Texas
11-29-2020,Red,807,West Texas
12-06-2020,Orange,253,West Texas
12-06-2020,Orange,257,West Texas
12-06-2020,Orange,257,West Texas
12-06-2020,Orange,295,West Texas
12-06-2020,Orange,562,West Texas
12-06-2020,Orange,565,West Texas
12-06-2020,Orange,565,West Texas
12-06-2020,Orange,565,West Texas
12-06-2020,Orange,565,West Texas
12-06-2020,Orange,594,West Texas
12-06-2020,Orange,594,West Texas
12-06-2020,Orange,597,West Texas
12-06-2020,Orange,597,West Texas
12-06-2020,Orange,597,West Texas
12-06-2020,Orange,803,West Texas
12-06-2020,Orange,803,West Texas
12-06-2020,Orange,803,West Texas
12-06-2020,Orange,803,West Texas
12-06-2020,Orange,803,West Texas
12-06-2020,Orange,807,West Texas
12-06-2020,Red,257,West Texas
12-06-2020,Red,257,West Texas
12-06-2020,Red,812,West Texas
12-13-2020,Orange,251,West Texas
12-13-2020,Orange,256,West Texas
12-13-2020,Orange,288,West Texas
12-13-2020,Orange,597,West Texas
12-13-2020,Orange,597,West Texas
12-13-2020,Orange,803,West Texas
